6.15789	0.430108	0	0	0	0	
6.17895	0.55914	0	0	0	0	
6.15789	0.924731	0	0	0	0	
6.17895	1.5914	0	0	0	0	
6.22105	2.04301	0	0	0	0	
6.28421	2.43011	0	0	0	0	
6.32632	2.47312	0	0	0	0	
6.51579	2.34409	0	0	0	0	
6.57895	2.36559	0	0	0	0	
6.74737	2.45161	0	0	0	0	
6.97895	2.66667	0	0	0	0	
7.06316	2.94624	0	0	0	0	
7.14737	3.24731	0	0	0	0	
7.23158	3.5914	0	0	0	0	
7.29474	3.87097	0	0	0	0	
7.33684	4.25806	0	0	0	0	
7.42105	4.7957	0	0	0	0	
7.50526	5.50538	0	0	0	0	
7.54737	6.15054	0	0	0	0	
7.58947	6.7957	0	0	0	0	
7.63158	7.33333	0	0	0	0	
7.65263	7.65591	0	0	0	0	
7.69474	8	0	0	0	0	
7.73684	8.8172	0	0	0	0	
7.75789	9.22581	0	0	0	0	
7.8	9.5914	0	0	0	0	
7.84211	9.97849	0	0	0	0	
7.98947	9.5914	0	0	0	0	
8.07368	9.26882	0	0	0	0	
8.26316	8.88172	0	0	0	0	
8.49474	8.53763	0	0	0	0	
8.6	8.47312	0	0	0	0	
8.74737	8.58065	0	0	0	0	
8.87368	8.62366	0	0	0	0	
9.04211	8.53763	0	0	0	0	
9.14737	8.15054	0	0	0	0	
9.23158	7.87097	0	0	0	0	
9.31579	7.65591	0	0	0	0	
9.42105	7.22581	0	0	0	0	
9.48421	6.90323	0	0	0	0	
9.58947	6.36559	0	0	0	0	
9.67368	5.87097	0	0	0	0	
9.73684	5.52688	0	0	0	0	
